month,day,names
1,1,Nový rok;Karina;Tatiana
1,2,Karina;Patrícia
1,3,Radmila;Radmil
1,4,Diana;Dita
1,5,Dalimil;Daša
1,6,Tři králové;Vilma
1,7,Vilma;Čestmír
1,8,Čestmír;Čestislav
1,9,Vladan;Vladislav
1,10,Břetislav;Břetislava
1,11,Bohdana;Bohdan
1,12,Pravoslav;Pravoslava
1,13,Edita
1,14,Radovan;Radovana
1,15,Alice
1,16,Ctirad
1,17,Drahoslav
1,18,Vladislav
1,19,Doubravka;Dobroslav
1,20,Ilona;Sebastián
1,21,Běla
1,22,Slavomír;Slavomíra
1,23,Zdeněk;Zdenka
1,24,Milena
1,25,Miloš
1,26,Zora;Zoran
1,27,Ingrid
1,28,Otýlie;Erik
1,29,Zdislava;Zdislav
1,30,Robin;Robina
1,31,Marika
2,1,Hynek;Hyzinka
2,2,Nela;Hromnice
2,3,Blažej
2,4,Jarmila
2,5,Dobromila
2,6,Vanda
2,7,Veronika
2,8,Milada
2,9,Apolena
2,10,Mojmír;Mojmíra
2,11,Božena
2,12,Slavěna;Slavík
2,13,Věnceslav;Věnceslava
2,14,Valentýn;Valentýna
2,15,Jarmila
2,16,Ljubomír;Ljubomíra
2,17,Miloslava
2,18,Gizela
2,19,Patrik;Patricie
2,20,Oldřich;Oldřiška
2,21,Lenka;Elena
2,22,Petr;Petra
2,23,Svatopluk
2,24,Matěj
2,25,Liliana
2,26,Dorota
2,27,Alexandr;Alexander
2,28,Zlatica;Zlata
2,29,Horymír
3,1,Bedřich;Bedřiška
3,2,Anežka
3,3,Kamil;Kamila
3,4,Stela
3,5,Kazimir;Kazimíra
3,6,Miroslav;Miroslava
3,7,Tomáš
3,8,Gabriela;Gabriel
3,9,Františka
3,10,Viktorie;Viktor
3,11,Anděla;Anděl
3,12,Řehoř
3,13,Růžena
3,14,Rút
3,15,Ida
3,16,Elena;Eliška
3,17,Vlastimil;Vlastimila
3,18,Eduard
3,19,Josef;Josefa
3,20,Světlana
3,21,Radek;Radka
3,22,Leona;Leona
3,23,Ivona
3,24,Gabriel
3,25,Marián;Mariána
3,26,Emanuel;Emanuela
3,27,Dita
3,28,Soňa
3,29,Taťána
3,30,Arnošt;Arnoštka
3,31,Kvido
4,1,Hugo
4,2,Ema
4,3,Richard
4,4,Ivana;Ivan
4,5,Miroslav;Miroslava
4,6,Vendula
4,7,Heřman;Hermína
4,8,Hermína
4,9,Čeněk
4,10,Darina
4,11,Jaroslav;Jaroslava
4,12,Julius;Julie
4,13,Aleš
4,14,Vincenc
4,15,Anastázie
4,16,Irena
4,17,Rudolf
4,18,Valérie
4,19,Rostislav;Rostislava
4,20,Marcel
4,21,Alexandra;Alexandr
4,22,Evženie;Evžen
4,23,Vojtěch
4,24,Jiří;Jiřina
4,25,Marek
4,26,Oto;Otokar
4,27,Jaroslav;Jaroslava
4,28,Vlastislav;Vlastislava
4,29,Robert;Roberta
4,30,Blahoslav;Blahoslava
5,1,Svátek práce
5,2,Zikmund
5,3,Alexej
5,4,Ctibor
5,5,Květoslav;Květoslava
5,6,Radoslav;Radoslava
5,7,Stanislav;Stanislava
5,8,Bonifác
5,9,Ctibor
5,10,Bogumil;Bogumila
5,11,Svatava
5,12,Pankrác
5,13,Servác
5,14,Bonifác
5,15,Žofie;Žofka
5,16,Přemysl;Přemysla
5,17,Aneta
5,18,Nataša
5,19,Ivana;Ivan
5,20,Zbyšek
5,21,Monika
5,22,Emílie
5,23,Vladimír;Vladimíra
5,24,Jana;Jan
5,25,Viola
5,26,Filip;Filipa
5,27,Valdemar
5,28,Vilém;Viléma
5,29,Maxim;Maxima
5,30,Ferdinand
5,31,Kamila;Kamil
6,1,Laura;Lara
6,2,Jarmil;Jarmila
6,3,Tamara
6,4,Dalibor;Dalibor
6,5,Dobroslav;Dobroslava
6,6,Norbert
6,7,Iveta
6,8,Medard
6,9,Stanislav;Stanislava
6,10,Gita
6,11,Bruno
6,12,Antal
6,13,Antonín;Antonie
6,14,Roland
6,15,Vít;Víta
6,16,Zbyněk;Zbynek
6,17,Adolf
6,18,Milan;Milana
6,19,Leoš
6,20,Květa;Květoslava
6,21,Alois;Aloisie
6,22,Pavla;Pavel
6,23,Zina
6,24,Jan;Jan
6,25,Prokop
6,26,Adriana
6,27,Ladislav;Ladislava
6,28,Lubomír;Lubomíra
6,29,Petr;Petra
6,30,Pavla;Pavel
7,1,Jaroslava
7,2,Patricie;Patrícia
7,3,Radomír;Radomíra
7,4,Prokop
