month,day,names
1,1,Maria
1,2,Makarius;Gregor;Otfried;Dietmar
1,3,Genoveva;Odilo;Irma
1,4,Angelika;Christiane
1,5,Emilia;Johann Nepomuk
1,6,Balthasar;Kaspar;Melchior;Raimund
1,7,Reinhold;Valentin
1,8,Severin;Erhard;Gudula;Heiko
1,9,Adrian;Julian;Alice
1,10,Paul;Leonie
1,11,Thomas
1,12,Ernst;Tatjana;Xenia
1,13,Jutta;Hilmar;Hilarius
1,14,Rainer;Felix;Engelmar
1,15,Arnold;Romedius;Maurus;Arno
1,16,Marcel;Tilman;Dietwald;Uli
1,17,Anton;Rosalind
1,18,Margitta;Ulfried;Uwe
1,19,Mario;Pia;Martha
1,20,Fabian;Sebastian;Ursula
1,21,Agnes;Meinrad;Ines
1,22,Vinzenz;Dietlinde;Jana
1,23,Hartmut;Emerentia;Guido
1,24,Franz;Vera;Thurid;Bernd
1,25,Wolfram
1,26,Timotheus;Titus;Paula
1,27,Angela;Alrun;Gerd
1,28,Manfred;Thomas;Karl;Karolina
1,29,Gerhard;Gerd;Josef
1,30,Martina;Adelgunde
1,31,Johannes;Marcella;Rudbert
2,1,Brigitta;Brigitte;Reginald;Barbara
2,2,Bodo;Stephan
2,3,Blasius;Ansgar;Oskar;Michael
2,4,Andreas;Veronika;Jenny
2,5,Agatha;Albuin
2,6,Dorothea;Doris;Paul
2,7,Richard;Ava;Ronan
2,8,Elfrieda;Hieronymus;Philipp
2,9,Apollonia;Anne-Kathrin;Anna;Katharina
2,10,Scholastika;Siegmar;Bruno
2,11,Maria;Theodora;Theodor
2,12,Benedikt;Eulalia
2,13,Christina;Irmhild;Adolf;Gisela
2,14,Valentin;Cyrill;Method
2,15,Siegfried;Jovita;Georgia
2,16,Juliana;Liane
2,17,Alexis;Benignus
2,18,Constanze;Simon;Simone
2,19,Irmgard;Irma;Hedwig
2,20,Corona;Falko;Jacinta
2,21,Petrus;Gunhild;Enrica;Peter
2,22,Isabella;Pit
2,23,Romana;Raffaela;Polykarp
2,24,Matthias
2,25,Walburga;Edeltraud
2,26,Gerlinde;Ottokar;Edigna;Denis;Mechthild
2,27,Gabriel;Marko;Baldur
2,28,Roman;Silvana;Oswald;Detlev
2,29,Oswald
3,1,Albin;Roger;Leontina
3,2,Volker;Agnes;Karl
3,3,Kunigunde;Camilla;Leif;Friedrich
3,4,Kasimir;Edwin;Humbert
3,5,Gerda;Olivia;Dietmar;Tim
3,6,Fridolin;Nicola;Rosa;Nicole
3,7,Reinhard;Felicitas;Perpetua;Volker
3,8,Johannes;Gerhard
3,9,Franziska;Bruno;Barbara;Dominik
3,10,Emil;Gustav
3,11,Rosina;Alram;Ulrich
3,12,Beatrix;Almut;Serafina
3,13,Judith;Pauline;Leander
3,14,Mathilde;Eva;Evelyn
3,15,Klemens;Louise
3,16,Herbert;Rüdiger
3,17,Gertrud;Gertraud;Patrick
3,18,Edward;Sibylle;Cyrill
3,19,Josef;Josefa;Josefine
3,20,Claudia;Wolfram
3,21,Christian;Axel;Emilia
3,22,Lea;Elmar;Reinhilde
3,23,Otto;Rebekka;Toribio
3,24,Karin;Elias;Heidelinde
3,25,Lucia
3,26,Ludger;Manuel;Manuela;Lara
3,27,Augusta;Heimo;Ernst
3,28,Guntram;Ingbert;Willy
3,29,Helmut;Ludolf;Berthold
3,30,Amadeus;Diemut
3,31,Cornelia;Conny;Nelly;Ben
4,1,Irene;Irina;Hugo
4,2,Franz;Mirjam;Sandra;Frank
4,3,Richard;Lisa
4,4,Isidor;Konrad;Kurt
4,5,Crescentia;Vinzenz;Juliane
4,6,Sixtus;William
4,7,Ralph;Johann Baptist
4,8,Walter;Beate;Rose-Marie
4,9,Waltraud;Casilda;Hugo
4,10,Gernot;Holda;Ezechiel;Engelbert
4,11,Stanislaus;Hildebrand;Reiner
4,12,Herta;Julius;Zeno
4,13,Ida;Hermenegild;Gilda;Martin
4,14,Ernestine;Erna;Elmo
4,15,Anastasia;Una;Damian
4,16,Bernadette;Magnus;Joachim
4,17,Eberhard;Wanda;Isadora;Max
4,18,Werner;Wigbert
4,19,Gerold;Emma;Leo;Timo
4,20,Odetta;Hildegund
4,21,Alexandra;Anselm
4,22,Alfred;Kaj;Leonidas
4,23,Georg;Jörg;Jürgen
4,24,Wilfried;Egbert;Virginia;Marion
4,25,Markus;Erwin
4,26,Helene;Consuela
4,27,Zita;Petrus;Montserrat
4,28,Hugo;Pierre;Ludwig
4,29,Katharina;Roswitha;Katja
4,30,Pauline;Silvio;Pius
5,1,Josef;Arnold
5,2,Siegmund;Boris;Zoë
5,3,Philipp;Jakob;Viola;Alexander
5,4,Florian;Guido;Valeria
5,5,Gotthard;Sigrid;Jutta
5,6,Gundula;Antonia;Britto
5,7,Gisela;Silke;Notker;Helga
5,8,Ida;Ulrike;Ulla;Klara
5,9,Beat;Caroline;Volkmar;Theresia
5,10,Isidor;Gordian;Liliana;Damian
5,11,Joachim;Mamertus
5,12,Pankratius;Imelda;Joana
5,13,Servatius;Rolanda
5,14,Bonifatius;Ismar;Pascal;Christian
5,15,Sophie;Sonja;Hertraud
5,16,Johann Nepomuk;Adolf
5,17,Dietmar;Pascal;Antonella
5,18,Erich;Erika;Johannes;Felix
5,19,Ivo;Yvonne;Kuno
5,20,Bernhardin;Elfriede;Mira
5,21,Hermann;Wiltrud;Konstantin
5,22,Julia;Rita;Ortwin;Renate
5,23,Renate;Désirée;Alma
5,24,Dagmar;Esther
5,25,Urban;Beda;Magdalene;Miriam
5,26,Marianne;Philipp
5,27,August;Bruno;Randolph
5,28,Wilhelm;German
5,29,Erwin;Irmtraud;Maximin
5,30,Ferdinand;Johanna
5,31,Petra;Mechthild;Helma
6,1,Simeon;Silka;Silvana
6,2,Armin;Erasmus;Blandina
6,3,Karl;Silvia;Hildburg;Karoline
6,4,Christa;Klothilde;Iona;Eva
6,5,Winfried;Bonifatius;Erika
6,6,Norbert;Bertrand;Kevin;Alice
6,7,Robert;Gottlieb;Anita
6,8,Medardus;Elga;Chlodwig
6,9,Grazia;Annamaria;Ephraim;Diana
6,10,Diana;Heinrich;Heinz;Olivia
6,11,Paula;Barnabas;Alice;Udo
6,12,Guido;Leo;Florinda
6,13,Antonius;Bernhard
6,14,Hartwig;Meinrad
6,15,Veit;Lothar;Gebhard;Bernhard
6,16,Benno;Luitgard;Quirin;Julietta
6,17,Adolf;Volker;Alena
6,18,Elisabeth;Ilsa;Marina;Isabella
6,19,Juliana;Romuald
6,20,Adalbert;Florentina;Margot
6,21,Alois;Aloisia;Alban;Ralf
6,22,Rotraud;Thomas
6,23,Edeltraud;Ortrud;Marion
6,24,Johannes;Reingard
6,25,Eleonora;Ella;Dorothea;Doris
6,26,David;Konstantin;Vigilius;Paul
6,27,Hemma;Heimo;Cyrill;Daniel
6,28,Harald;Ekkehard;Irenäus;Senta
6,29,Peter;Paul;Gero
6,30,Otto;Bertram;Ehrentrud
7,1,Dietrich;Aaron;Theobald;Regina
7,2,Wiltrud;Jakob
7,3,Thomas;Ramon;Ramona
7,4,Ulrich;Berta;Elisabeth;Else
7,5,Albrecht;Kira;Letizia
7,6,Marietta;Goar;Isaias
7,7,Willibald;Edda;Firmin
7,8,Kilian;Amalia;Edgar
7,9,Veronika;Hermine;Hannes
7,10,Knud;Engelbert;Raphael;Sascha
7,11,Olga;Oliver;Benedikt
7,12,Siegbert;Henriette;Felix;Eleonore
7,13,Heinrich;Sarah;Arno
7,14,Roland;Camillo;Goswin
7,15,Bonaventura;Egon;Björn
7,16,Carmen;Irmgard
7,17,Gabriella;Charlotte
7,18,Arnulf;Ulf;Friedrich
7,19,Marina;Reto;Bernold
7,20,Margaretha;Greta;Elias
7,21,Daniel;Daniela;Stella;Julia
7,22,Magdalena;Marlene;Verena
7,23,Birgitta;Birgit;Liborius
7,24,Christoph;Sieglinde;Luise
7,25,Jakob;Valentina
7,26,Anna;Joachim;Gloria
7,27,Rudolf;Rolf;Pantaleon;Natalie;Berthold
7,28,Adele;Ada;Innozenz;Benno
