month,day,names
1,1,Alpár;Fruzsina;Bazil
1,2,Ábel;Gergely;Vazul
1,3,Genovéva;Gyöngyvér;Benjámin;Dzsenifer;Jennifer
1,4,Titusz;Leona;Angéla
1,5,Simon;Emília
1,6,Gáspár;Menyhért;Boldizsár
1,7,Attila;Etele;Ramóna;Rajmund;Bálint
1,8,Gyöngyvér;Keve;Szeverin;Szörény
1,9,Marcell;Juliánusz
1,10,Melánia;Vilmos;Vilma
1,11,Ágota;Honoráta
1,12,Ernő;Erneszta;Tatjána
1,13,Veronika;Csongor;Yvett
1,14,Bódog;Félix
1,15,Lóránt;Loránd;Pál
1,16,Gusztáv;Marcell
1,17,Antal;Antónia
1,18,Margit;Piroska
1,19,Sára;Márta;Márió
1,20,Fábián;Sebestyén
1,21,Ágnes;Agnéta
1,22,Vince;Artúr
1,23,Zelma;Rajmund;Emerencia;Emese;Freja;Frej
1,24,Timót;Ferenc
1,25,Pál;Henrik
1,26,Vanda;Paula;Timóteusz
1,27,Angéla;Angelika
1,28,Károly;Karola;Tamás
1,29,Adél;Valér
1,30,Martina;Gerda;Jácinta
1,31,Marcella;János
2,1,Ignác;Brigitta;Kincső;Renátó
2,2,Karolina;Karola;Aida
2,3,Balázs;Oszkár;Celerina
2,4,Ráhel;Csenge;Veronika;András
2,5,Ágota;Ingrid;Etelka;Léda
2,6,Dorottya;Dóra;Doroti;Pál
2,7,Tódor;Rómeó;Richárd
2,8,Aranka;Jeromos
2,9,Abigél;Alex;Apollónia
2,10,Elvira
2,11,Bertold;Marietta
2,12,Lívia;Lídia;Eulália
2,13,Ella;Linda;Levente;Katalin
2,14,Bálint;Valentin;Cirill;Metód
2,15,Kolos;Györgyi;Georgina
2,16,Julianna;Lilla;Filippa
2,17,Donát
2,18,Bernadett;Simon;Zenkő
2,19,Zsuzsanna;Eliza;Konrád
2,20,Aladár;Álmos;Leó
2,21,Eleonóra;Zelmira;Péter
2,22,Gerzson;Margit;Zétény
2,23,Alfréd;Polikárp;Mirtill
2,24,Mátyás;Jázmin
2,25,Géza;Cézár;Vanda
2,26,Viktor;Győző;Edina
2,27,Ákos;Bátor;Gábor
2,28,Elemér;Oszvald;Román
2,29,Elemér;Oszvald;Román
3,1,Albin;Albina;Leonita
3,2,Lujza;Ágnes;Henrik;Magor
3,3,Kornélia;Kunigunda;Frigyes
3,4,Kázmér;Lúciusz;Zorán
3,5,Adorján;Adrián
3,6,Leonóra;Inez;Koletta;Felicitász
3,7,Tamás;Perpétua;Ubul
3,8,János;Zoltán;Apolka
3,9,Franciska;Fanni
3,10,Ildikó;Emil;Gusztáv
3,11,Szilárd;Tímea;Konstantin
3,12,Gergely;Maximilián
3,13,Krisztián;Ajtony;Egyed;Patrícia
3,14,Matild;Matilda;Tilla
3,15,Kristóf;Kelemen
3,16,Henrietta;Herbert
3,17,Gertrúd;Patrik
3,18,Sándor;Ede;Cirill
3,19,József;Bánk
3,20,Klaudia;Alexandra
3,21,Benedek;Bence;Miklós
3,22,Beáta;Izolda;Lea
3,23,Emőke;Botond;Ottó;Kartal
3,24,Gábor;Karina
3,25,Irén;Írisz;Lúcia
3,26,Emánuel;Emánuéla;Lara;Larissza;Árpád
3,27,Hajnalka;Lídia;Auguszta
3,28,Gedeon;Johanna
3,29,Auguszta;Bercel;Bertold
3,30,Zalán
3,31,Árpád;Benjámin;Benő
4,1,Hugó;Agád
4,2,Áron;Ferenc
4,3,Buda;Richárd;Hóvirág;Indira
4,4,Izidor
4,5,Vince;Irén;Teodóra
4,6,Vilmos;Bíborka;Taksony;Celesztin
4,7,Herman;János
4,8,Dénes;Valér;Valter
4,9,Erhard;Ákos;Döme
4,10,Zsolt;Ezékiel
4,11,Leó;Szaniszló;Glória
4,12,Gyula;Baldvin;Sába;Nara
