month,day,names
1,1,Bożymir;Maria;Masław;Mieczysław;Mieczysława;Miesław;Mieszko;Niecisław
1,2,Abel;Achacjusz;Achacy;Aspazja;Bazyli;Grzegorz;Hortulana;Izydor
1,3,Anter;Arleta;Arletta;Dana;Daniel;Danuta;Enoch;Genowefa
1,4,Angelika;Aniela;Benedykta;Benita;Dobromir;Elżbieta;Eugeniusz;Fereol
1,5,Amata;Diana;Edward;Emilian;Emiliana;Hanna;Żaklina;Piotr
1,6,Andrzej;Balcer;Baltazar;Bolemir;Bolemira;Epifania;Jędrzej;Kacper
1,7,Chociesław;Chocsław;Julian;Kryspin;Lucjan;Nawoj;Rajmund;Rajnold
1,8,Arlena;Arletta;Artur;Baldwin;Erhard;Mścisław;Mroczysław;Otokar
1,9,Adrian;Adrianna;Alicja;Antoni;Borzym;Borzymir;Hadriana;Julian
1,10,Ada;Adrian;Aga;Agaton;Anna;Danuta;Dobrosław;Gabriela
1,11,Aleksander;Feliks;Hilary;Honorata;Hortensja;Hortensjusz;Hygin;Krzesimir
1,12,Antoni;Arkadiusz;Arkady;Benedykt;Benedykta;Benita;Bernard;Bonet
1,13,Bogumił;Bogumiła;Bogusąd;Bogusław;Gotfryd;Hilary;Izydor;Leoncjusz
1,14,Amadea;Domasuł;Dzirżywuj;Feliks;Hilary;Krystiana;Krzesimir;Martyna
1,15,Aleksander;Arnold;Dąbrówka;Dobrawa;Domasław;Domosław;Dora;Gabriel
1,16,Bernard;Biezdar;Honorat;Honorata;Marcel;Marcela;Marceli;Piotr
1,17,Alba;Antoni;Henryka;Honorata;Jan;Julian;Marian;Przemił
1,18,Beatrycze;Bogumił;Ewelina;Jaropełk;Krystyna;Liberata;Lubart;Małgorzata
1,19,Adalryk;Alderyk;Andrzej;Bernard;Bronisław;Emma;Erwin;Erwina
1,20,Dobiechna;Dobiegniew;Dobiegniewa;Dobrogniew;Dobrożyźń;Fabian;Fabiana;Fabiola
1,21,Agnieszka;August;Awit;Awita;Epifani;Inez;Jarochna;Jarosław
