month,day,names
1,1,Nový rok;Karina
1,2,Karina;Patrícia
1,3,Radmila;Radmír
1,4,Dita;Diana
1,5,Dalimil;Daša
1,6,Melichar;Meliá
1,7,Čestmír;Čestislav
1,8,Severín
1,9,Alexej;Valérián
1,10,Dáša;Damián
1,11,Malvína;Vincenta
1,12,Ernest;Ernestín
1,13,Rastislav;Radoslav
1,14,Radovan;Radomír
1,15,Dobroslav;Drahoslav
1,16,Kristína
1,17,Nataša;Timea
1,18,Bohdana;Pribislav
1,19,Fabián;Šebastián
1,20,Drahomír;Drahomíra
1,21,Vincent;Vincencia
1,22,Zora;Zoran
1,23,Miloš;Mila
1,24,Timotej;Timotea
1,25,Gejza;Gizela
1,26,Tamara;Taras
1,27,Bohuš;Bohumír
1,28,Alfonz;Alfonzia
1,29,Gašpar
1,30,Ema;Emília
1,31,Emil;Emiliana
2,1,Tatiana;Tatiana
2,2,Erik;Erika
2,3,Blažej
2,4,Veronika;Verona
2,5,Agáta
2,6,Dorota
2,7,Vanda
2,8,Zoja
2,9,Zdenko;Zdenka
2,10,Gabriela;Gabriel
2,11,Dezider;Dezidera
2,12,Perla
2,13,Arpád
2,14,Valentín;Valentína
2,15,Pravoslav;Pravoslava
2,16,Ida;Liana
2,17,Miloslava;Miloslav
2,18,Jaromír;Jaromíra
2,19,Vlasta;Vlastimil
2,20,Lívia
2,21,Eleonóra
2,22,Etela
2,23,Roman;Romana
2,24,Matej
2,25,Frederik;Frederika
2,26,Viktor;Viktória
2,27,Alexander;Alexandra
2,28,Zlatica;Zlata
2,29,Zlatica;Zlata
3,1,Albín;Albína
3,2,Anežka
3,3,Bohumil;Bohumila
3,4,Kazimír;Kazimíra
3,5,Fridrich;Frida
3,6,Radoslav;Radoslava
3,7,Tomáš;Tomáš
3,8,Alan;Alana
3,9,Františka
3,10,Branislav;Bronislav
3,11,Angela;Angelika
3,12,Gregor
3,13,Vlastimil;Vlastimila
3,14,Matilda
3,15,Svetlana
3,16,Boleslav;Boleslava
3,17,Lubica;Ľubica
3,18,Eduard;Eduarda
3,19,Jozef;Jozefa
3,20,Víťazoslav;Víťazoslava
3,21,Blahoslav;Blahoslava
3,22,Beáta
3,23,Adela;Adelína
3,24,Ivan;Ivana
3,25,Marián
3,26,Emanuel;Emanuela
3,27,Alena
3,28,Sonja;Soňa
3,29,Miroslav;Miroslava
3,30,Vieroslava;Vieroslav
3,31,Benjamín
4,1,Hugo
4,2,Zita
4,3,Richard
4,4,Izidor;Izidora
4,5,Miroslav;Miroslava
4,6,Irena
4,7,Zoltán
4,8,Albert;Albertína
4,9,Miroslava;Miroslav
4,10,Ivona;Ivica
4,11,Julián;Juliána
4,12,Estera
4,13,Aleš
4,14,Justína;Justín
4,15,Fedor
4,16,Dana;Danica
4,17,Rudolf;Rudolfa
4,18,Valéria
4,19,Jela
4,20,Jela
4,21,Alexandra;Alexej
4,22,Ervín
4,23,Juraj;Juraj
4,24,Marek
4,25,Jaroslav;Jaroslava
4,26,Tarazius;Taras
4,27,Jaroslava
4,28,Jaromír
4,29,Anastázia;Anastáz
4,30,Damian;Damián
5,1,Sviatok práce
5,2,Žigmund;Žigmunda
5,3,Galina
5,4,Florián
5,5,Lesana;Lesia
5,6,Hermína
5,7,Monika
5,8,Ingrid
5,9,Roland
5,10,Viktória;Víťazoslav
5,11,Blažena
5,12,Pankrác
5,13,Servác
5,14,Bonifác
5,15,Sofia;Žofia
5,16,Svetozár
5,17,Gizela
5,18,Eliška
5,19,Sáva
5,20,Bernard;Bernarda
5,21,Zina
5,22,Júlia;Juliána
5,23,Želmíra
5,24,Ela
